,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller
,Mixed / non conventional,92.00,86.00,89.00,87.50,0.75,0.00,125.746,2358.242,14.14,0,,1/28/2024 5:28:42 PM,0
,Mixed / non conventional,92.00,86.00,87.50,90.50,0.69,0.00,-231.541,2358.242,-7.07,0,,1/28/2024 5:28:42 PM,0
,Mixed / non conventional,92.00,86.00,90.50,84.50,0.69,0.00,252.109,2358.242,6.43,0,,1/28/2024 5:28:42 PM,0
,Mixed / non conventional,92.00,86.00,84.50,93.50,0.72,0.00,-289.438,2358.242,-5.89,0,,1/28/2024 5:28:42 PM,0
,Mixed / non conventional,92.00,86.00,93.50,83.00,0.75,0.00,212.482,2358.242,8.32,0,,1/28/2024 5:28:42 PM,0
,Mixed / non conventional,92.00,86.00,83.00,95.00,0.86,0.00,-142.641,2358.242,-14.14,0,,1/28/2024 5:28:42 PM,0
,Mixed / non conventional,92.00,86.00,95.00,81.50,0.87,0.00,114.124,2358.242,17.99,0,,1/28/2024 5:28:42 PM,0
,Mixed / non conventional,92.00,86.00,81.50,96.50,0.88,0.00,-84.132,2358.242,-24.74,0,,1/28/2024 5:28:42 PM,0
,Mixed / non conventional,92.00,86.00,96.50,80.00,0.89,0.00,70.500,2358.242,29.87,0,,1/28/2024 5:28:42 PM,0
,Mixed / non conventional,92.00,86.00,80.00,98.00,0.89,0.00,-55.674,2358.242,-37.70,0,,1/28/2024 5:28:42 PM,0
,Mixed / non conventional,93.00,87.00,90.00,88.50,0.75,0.00,124.974,2356.038,14.14,0,,1/28/2024 5:28:44 PM,0
,Mixed / non conventional,93.00,87.00,88.50,91.50,0.68,0.00,-226.604,2356.038,-7.07,0,,1/28/2024 5:28:44 PM,0
,Mixed / non conventional,93.00,87.00,91.50,85.50,0.67,0.00,244.782,2356.038,6.43,0,,1/28/2024 5:28:44 PM,0
,Mixed / non conventional,93.00,87.00,85.50,94.50,0.70,0.00,-281.882,2356.038,-5.89,0,,1/28/2024 5:28:44 PM,0
,Mixed / non conventional,93.00,87.00,94.50,84.00,0.73,0.00,207.650,2356.038,8.32,0,,1/28/2024 5:28:44 PM,0
,Mixed / non conventional,93.00,87.00,84.00,96.00,0.85,0.00,-141.267,2356.038,-14.14,0,,1/28/2024 5:28:44 PM,0
,Mixed / non conventional,93.00,87.00,96.00,82.50,0.86,0.00,113.146,2356.038,17.99,0,,1/28/2024 5:28:44 PM,0
,Mixed / non conventional,93.00,87.00,82.50,97.50,0.88,0.00,-83.674,2356.038,-24.74,0,,1/28/2024 5:28:44 PM,0
,Mixed / non conventional,93.00,87.00,97.50,81.00,0.89,0.00,70.214,2356.038,29.87,0,,1/28/2024 5:28:44 PM,0
,Mixed / non conventional,93.00,87.00,81.00,99.00,0.89,0.00,-55.689,2356.038,-37.70,0,,1/28/2024 5:28:44 PM,0
,Mixed / non conventional,94.00,88.00,91.00,89.50,0.72,0.00,119.995,2357.075,14.14,0,,1/28/2024 5:28:46 PM,0
,Mixed / non conventional,94.00,88.00,89.50,92.50,0.66,0.00,-219.076,2357.075,-7.07,0,,1/28/2024 5:28:46 PM,0
,Mixed / non conventional,94.00,88.00,92.50,86.50,0.66,0.00,242.101,2357.075,6.43,0,,1/28/2024 5:28:46 PM,0
,Mixed / non conventional,94.00,88.00,86.50,95.50,0.70,0.00,-280.365,2357.075,-5.89,0,,1/28/2024 5:28:46 PM,0
,Mixed / non conventional,94.00,88.00,95.50,85.00,0.73,0.00,208.141,2357.075,8.32,0,,1/28/2024 5:28:46 PM,0
,Mixed / non conventional,94.00,88.00,85.00,97.00,0.85,0.00,-141.324,2357.075,-14.14,0,,1/28/2024 5:28:46 PM,0
,Mixed / non conventional,94.00,88.00,97.00,83.50,0.87,0.00,113.738,2357.075,17.99,0,,1/28/2024 5:28:46 PM,0
,Mixed / non conventional,94.00,88.00,83.50,98.50,0.89,0.00,-84.938,2357.075,-24.74,0,,1/28/2024 5:28:46 PM,0
,Mixed / non conventional,94.00,88.00,98.50,82.00,0.90,0.00,71.339,2357.075,29.87,0,,1/28/2024 5:28:46 PM,0
,Mixed / non conventional,94.00,88.00,82.00,100.00,0.91,0.00,-57.115,2357.075,-37.70,0,,1/28/2024 5:28:46 PM,0
,Mixed / non conventional,95.00,89.00,92.00,90.50,0.72,0.00,119.848,2358.698,14.14,0,,1/28/2024 5:28:49 PM,0
,Mixed / non conventional,95.00,89.00,90.50,93.50,0.67,0.00,-223.312,2358.698,-7.07,0,,1/28/2024 5:28:49 PM,0
,Mixed / non conventional,95.00,89.00,93.50,87.50,0.68,0.00,248.827,2358.698,6.43,0,,1/28/2024 5:28:49 PM,0
,Mixed / non conventional,95.00,89.00,87.50,96.50,0.66,0.00,-264.801,2358.698,-5.89,0,,1/28/2024 5:28:49 PM,0
,Mixed / non conventional,95.00,89.00,96.50,86.00,0.67,0.00,190.326,2358.698,8.32,0,,1/28/2024 5:28:49 PM,0
,Mixed / non conventional,95.00,89.00,86.00,98.00,0.86,0.00,-143.232,2358.698,-14.14,0,,1/28/2024 5:28:49 PM,0
,Mixed / non conventional,95.00,89.00,98.00,84.50,0.88,0.00,115.760,2358.698,17.99,0,,1/28/2024 5:28:49 PM,0
,Mixed / non conventional,95.00,89.00,84.50,99.50,0.91,0.00,-87.012,2358.698,-24.74,0,,1/28/2024 5:28:49 PM,0
,Mixed / non conventional,95.00,89.00,99.50,83.00,0.93,0.00,73.318,2358.698,29.87,0,,1/28/2024 5:28:49 PM,0
,Mixed / non conventional,95.00,89.00,83.00,101.00,0.94,0.00,-58.994,2358.698,-37.70,0,,1/28/2024 5:28:49 PM,0
,Mixed / non conventional,96.00,90.00,93.00,91.50,0.72,0.00,119.757,2365.936,14.14,0,,1/28/2024 5:28:51 PM,0
,Mixed / non conventional,96.00,90.00,91.50,94.50,0.67,0.00,-223.303,2365.936,-7.07,0,,1/28/2024 5:28:51 PM,0
,Mixed / non conventional,96.00,90.00,94.50,88.50,0.68,0.00,249.604,2365.936,6.43,0,,1/28/2024 5:28:51 PM,0
,Mixed / non conventional,96.00,90.00,88.50,97.50,0.69,0.00,-277.585,2365.936,-5.89,0,,1/28/2024 5:28:51 PM,0
,Mixed / non conventional,96.00,90.00,97.50,87.00,0.71,0.00,202.289,2365.936,8.32,0,,1/28/2024 5:28:51 PM,0
,Mixed / non conventional,96.00,90.00,87.00,99.00,0.85,0.00,-142.693,2365.936,-14.14,0,,1/28/2024 5:28:51 PM,0
,Mixed / non conventional,96.00,90.00,99.00,85.50,0.88,0.00,115.202,2365.936,17.99,0,,1/28/2024 5:28:51 PM,0
,Mixed / non conventional,96.00,90.00,85.50,100.50,0.91,0.00,-87.208,2365.936,-24.74,0,,1/28/2024 5:28:51 PM,0
,Mixed / non conventional,96.00,90.00,100.50,84.00,0.93,0.00,73.743,2365.936,29.87,0,,1/28/2024 5:28:51 PM,0
,Mixed / non conventional,96.00,90.00,84.00,102.00,0.95,0.00,-59.518,2365.936,-37.70,0,,1/28/2024 5:28:51 PM,0
,Mixed / non conventional,97.00,91.00,94.00,92.50,0.73,0.00,121.283,2364.943,14.14,0,,1/28/2024 5:28:53 PM,0
,Mixed / non conventional,97.00,91.00,92.50,95.50,0.66,0.00,-221.271,2364.943,-7.07,0,,1/28/2024 5:28:53 PM,0
,Mixed / non conventional,97.00,91.00,95.50,89.50,0.67,0.00,245.497,2364.943,6.43,0,,1/28/2024 5:28:53 PM,0
,Mixed / non conventional,97.00,91.00,89.50,98.50,0.65,0.00,-261.376,2364.943,-5.89,0,,1/28/2024 5:28:53 PM,0
,Mixed / non conventional,97.00,91.00,98.50,88.00,0.66,0.00,188.051,2364.943,8.32,0,,1/28/2024 5:28:53 PM,0
,Mixed / non conventional,97.00,91.00,88.00,100.00,0.85,0.00,-142.488,2364.943,-14.14,0,,1/28/2024 5:28:53 PM,0
,Mixed / non conventional,97.00,91.00,100.00,86.50,0.87,0.00,114.224,2364.943,17.99,0,,1/28/2024 5:28:53 PM,0
,Mixed / non conventional,97.00,91.00,86.50,101.50,0.91,0.00,-86.764,2364.943,-24.74,0,,1/28/2024 5:28:53 PM,0
,Mixed / non conventional,97.00,91.00,101.50,85.00,0.92,0.00,73.104,2364.943,29.87,0,,1/28/2024 5:28:53 PM,0
,Mixed / non conventional,97.00,91.00,85.00,103.00,0.94,0.00,-58.836,2364.943,-37.70,0,,1/28/2024 5:28:53 PM,0
,Mixed / non conventional,98.00,92.00,95.00,93.50,0.72,0.00,119.719,2350.707,14.14,0,,1/28/2024 5:28:56 PM,0
,Mixed / non conventional,98.00,92.00,93.50,96.50,0.65,0.00,-217.297,2350.707,-7.07,0,,1/28/2024 5:28:56 PM,0
,Mixed / non conventional,98.00,92.00,96.50,90.50,0.66,0.00,242.239,2350.707,6.43,0,,1/28/2024 5:28:56 PM,0
,Mixed / non conventional,98.00,92.00,90.50,99.50,0.64,0.00,-254.664,2350.707,-5.89,0,,1/28/2024 5:28:56 PM,0
,Mixed / non conventional,98.00,92.00,99.50,89.00,0.64,0.00,179.723,2350.707,8.32,0,,1/28/2024 5:28:56 PM,0
,Mixed / non conventional,98.00,92.00,89.00,101.00,0.84,0.00,-140.055,2350.707,-14.14,0,,1/28/2024 5:28:56 PM,0
,Mixed / non conventional,98.00,92.00,101.00,87.50,0.86,0.00,112.149,2350.707,17.99,0,,1/28/2024 5:28:56 PM,0
,Mixed / non conventional,98.00,92.00,87.50,102.50,0.89,0.00,-84.995,2350.707,-24.74,0,,1/28/2024 5:28:56 PM,0
,Mixed / non conventional,98.00,92.00,102.50,86.00,0.90,0.00,70.910,2350.707,29.87,0,,1/28/2024 5:28:56 PM,0
,Mixed / non conventional,98.00,92.00,86.00,104.00,0.91,0.00,-56.828,2350.707,-37.70,0,,1/28/2024 5:28:56 PM,0
,Mixed / non conventional,99.00,93.00,96.00,94.50,0.69,0.00,115.318,2365.781,14.14,0,,1/28/2024 5:28:58 PM,0
,Mixed / non conventional,99.00,93.00,94.50,97.50,0.63,0.00,-209.889,2365.781,-7.07,0,,1/28/2024 5:28:58 PM,0
,Mixed / non conventional,99.00,93.00,97.50,91.50,0.64,0.00,236.243,2365.781,6.43,0,,1/28/2024 5:28:58 PM,0
,Mixed / non conventional,99.00,93.00,91.50,100.50,0.66,0.00,-264.009,2365.781,-5.89,0,,1/28/2024 5:28:58 PM,0
,Mixed / non conventional,99.00,93.00,100.50,90.00,0.67,0.00,190.288,2365.781,8.32,0,,1/28/2024 5:28:58 PM,0
,Mixed / non conventional,99.00,93.00,90.00,102.00,0.82,0.00,-137.355,2365.781,-14.14,0,,1/28/2024 5:28:58 PM,0
,Mixed / non conventional,99.00,93.00,102.00,88.50,0.83,0.00,109.512,2365.781,17.99,0,,1/28/2024 5:28:58 PM,0
,Mixed / non conventional,99.00,93.00,88.50,103.50,0.86,0.00,-82.625,2365.781,-24.74,0,,1/28/2024 5:28:58 PM,0
,Mixed / non conventional,99.00,93.00,103.50,87.00,0.87,0.00,69.055,2365.781,29.87,0,,1/28/2024 5:28:58 PM,0
,Mixed / non conventional,99.00,93.00,87.00,105.00,0.88,0.00,-55.164,2365.781,-37.70,0,,1/28/2024 5:28:58 PM,0
,Mixed / non conventional,100.00,94.00,97.00,95.50,0.66,0.00,109.738,2351.118,14.14,0,,1/28/2024 5:29:00 PM,0
,Mixed / non conventional,100.00,94.00,95.50,98.50,0.61,0.00,-202.638,2351.118,-7.07,0,,1/28/2024 5:29:00 PM,0
,Mixed / non conventional,100.00,94.00,98.50,92.50,0.63,0.00,230.285,2351.118,6.43,0,,1/28/2024 5:29:00 PM,0
,Mixed / non conventional,100.00,94.00,92.50,101.50,0.64,0.00,-256.778,2351.118,-5.89,0,,1/28/2024 5:29:00 PM,0
,Mixed / non conventional,100.00,94.00,101.50,91.00,0.66,0.00,187.088,2351.118,8.32,0,,1/28/2024 5:29:00 PM,0
,Mixed / non conventional,100.00,94.00,91.00,103.00,0.82,0.00,-136.081,2351.118,-14.14,0,,1/28/2024 5:29:00 PM,0
,Mixed / non conventional,100.00,94.00,103.00,89.50,0.83,0.00,108.701,2351.118,17.99,0,,1/28/2024 5:29:00 PM,0
,Mixed / non conventional,100.00,94.00,89.50,104.50,0.87,0.00,-82.219,2351.118,-24.74,0,,1/28/2024 5:29:00 PM,0
,Mixed / non conventional,100.00,94.00,104.50,88.00,0.87,0.00,68.631,2351.118,29.87,0,,1/28/2024 5:29:00 PM,0
,Mixed / non conventional,100.00,94.00,88.00,106.00,0.88,0.00,-55.092,2351.118,-37.70,0,,1/28/2024 5:29:00 PM,0
,Mixed / non conventional,101.00,95.00,98.00,96.50,0.65,0.00,108.694,2364.365,14.14,0,,1/28/2024 5:29:02 PM,0
,Mixed / non conventional,101.00,95.00,96.50,99.50,0.60,0.00,-201.688,2364.365,-7.07,0,,1/28/2024 5:29:02 PM,0
,Mixed / non conventional,101.00,95.00,99.50,93.50,0.62,0.00,227.790,2364.365,6.43,0,,1/28/2024 5:29:02 PM,0
,Mixed / non conventional,101.00,95.00,93.50,102.50,0.61,0.00,-244.337,2364.365,-5.89,0,,1/28/2024 5:29:02 PM,0
,Mixed / non conventional,101.00,95.00,102.50,92.00,0.62,0.00,177.486,2364.365,8.32,0,,1/28/2024 5:29:02 PM,0
,Mixed / non conventional,101.00,95.00,92.00,104.00,0.81,0.00,-136.258,2364.365,-14.14,0,,1/28/2024 5:29:02 PM,0
,Mixed / non conventional,101.00,95.00,104.00,90.50,0.83,0.00,109.607,2364.365,17.99,0,,1/28/2024 5:29:02 PM,0
,Mixed / non conventional,101.00,95.00,90.50,105.50,0.87,0.00,-83.216,2364.365,-24.74,0,,1/28/2024 5:29:02 PM,0
,Mixed / non conventional,101.00,95.00,105.50,89.00,0.87,0.00,69.241,2364.365,29.87,0,,1/28/2024 5:29:02 PM,0
,Mixed / non conventional,101.00,95.00,89.00,107.00,0.89,0.00,-55.832,2364.365,-37.70,0,,1/28/2024 5:29:02 PM,0
,Mixed / non conventional,102.00,96.00,99.00,97.50,0.66,0.00,110.611,2351.702,14.14,0,,1/28/2024 5:29:05 PM,0
,Mixed / non conventional,102.00,96.00,97.50,100.50,0.62,0.00,-205.190,2351.702,-7.07,0,,1/28/2024 5:29:05 PM,0
,Mixed / non conventional,102.00,96.00,100.50,94.50,0.62,0.00,228.053,2351.702,6.43,0,,1/28/2024 5:29:05 PM,0
,Mixed / non conventional,102.00,96.00,94.50,103.50,0.63,0.00,-252.475,2351.702,-5.89,0,,1/28/2024 5:29:05 PM,0
,Mixed / non conventional,102.00,96.00,103.50,93.00,0.66,0.00,186.391,2351.702,8.32,0,,1/28/2024 5:29:05 PM,0
,Mixed / non conventional,102.00,96.00,93.00,105.00,0.82,0.00,-135.996,2351.702,-14.14,0,,1/28/2024 5:29:05 PM,0
,Mixed / non conventional,102.00,96.00,105.00,91.50,0.84,0.00,110.332,2351.702,17.99,0,,1/28/2024 5:29:05 PM,0
,Mixed / non conventional,102.00,96.00,91.50,106.50,0.89,0.00,-84.208,2351.702,-24.74,0,,1/28/2024 5:29:05 PM,0
,Mixed / non conventional,102.00,96.00,106.50,90.00,0.90,0.00,70.529,2351.702,29.87,0,,1/28/2024 5:29:05 PM,0
,Mixed / non conventional,102.00,96.00,90.00,108.00,0.91,0.00,-56.967,2351.702,-37.70,0,,1/28/2024 5:29:05 PM,0
,Mixed / non conventional,103.00,97.00,100.00,98.50,0.67,0.00,112.394,2377.352,14.14,0,,1/28/2024 5:29:07 PM,0
,Mixed / non conventional,103.00,97.00,98.50,101.50,0.62,0.00,-207.856,2377.352,-7.07,0,,1/28/2024 5:29:07 PM,0
,Mixed / non conventional,103.00,97.00,101.50,95.50,0.62,0.00,230.772,2377.352,6.43,0,,1/28/2024 5:29:07 PM,0
,Mixed / non conventional,103.00,97.00,95.50,104.50,0.62,0.00,-252.222,2377.352,-5.89,0,,1/28/2024 5:29:07 PM,0
,Mixed / non conventional,103.00,97.00,104.50,94.00,0.65,0.00,184.841,2377.352,8.32,0,,1/28/2024 5:29:07 PM,0
,Mixed / non conventional,103.00,97.00,94.00,106.00,0.81,0.00,-136.558,2377.352,-14.14,0,,1/28/2024 5:29:07 PM,0
,Mixed / non conventional,103.00,97.00,106.00,92.50,0.84,0.00,110.971,2377.352,17.99,0,,1/28/2024 5:29:07 PM,0
,Mixed / non conventional,103.00,97.00,92.50,107.50,0.88,0.00,-84.866,2377.352,-24.74,0,,1/28/2024 5:29:07 PM,0
,Mixed / non conventional,103.00,97.00,107.50,91.00,0.90,0.00,71.783,2377.352,29.87,0,,1/28/2024 5:29:07 PM,0
,Mixed / non conventional,103.00,97.00,91.00,109.00,0.92,0.00,-57.839,2377.352,-37.70,0,,1/28/2024 5:29:07 PM,0
,Mixed / non conventional,104.00,98.00,101.00,99.50,0.67,0.00,111.603,2344.073,14.14,0,,1/28/2024 5:29:09 PM,0
,Mixed / non conventional,104.00,98.00,99.50,102.50,0.62,0.00,-205.715,2344.073,-7.07,0,,1/28/2024 5:29:09 PM,0
,Mixed / non conventional,104.00,98.00,102.50,96.50,0.62,0.00,227.270,2344.073,6.43,0,,1/28/2024 5:29:09 PM,0
,Mixed / non conventional,104.00,98.00,96.50,105.50,0.62,0.00,-247.619,2344.073,-5.89,0,,1/28/2024 5:29:09 PM,0
,Mixed / non conventional,104.00,98.00,105.50,95.00,0.64,0.00,181.259,2344.073,8.32,0,,1/28/2024 5:29:09 PM,0
,Mixed / non conventional,104.00,98.00,95.00,107.00,0.82,0.00,-135.409,2344.073,-14.14,0,,1/28/2024 5:29:09 PM,0
,Mixed / non conventional,104.00,98.00,107.00,93.50,0.84,0.00,110.003,2344.073,17.99,0,,1/28/2024 5:29:09 PM,0
,Mixed / non conventional,104.00,98.00,93.50,108.50,0.88,0.00,-83.650,2344.073,-24.74,0,,1/28/2024 5:29:09 PM,0
,Mixed / non conventional,104.00,98.00,108.50,92.00,0.90,0.00,70.925,2344.073,29.87,0,,1/28/2024 5:29:09 PM,0
,Mixed / non conventional,104.00,98.00,92.00,110.00,0.92,0.00,-56.900,2344.073,-37.70,0,,1/28/2024 5:29:09 PM,0
,Mixed / non conventional,105.00,99.00,102.00,100.50,0.66,0.00,109.700,2359.394,14.14,0,,1/28/2024 5:29:12 PM,0
,Mixed / non conventional,105.00,99.00,100.50,103.50,0.61,0.00,-202.619,2359.394,-7.07,0,,1/28/2024 5:29:12 PM,0
,Mixed / non conventional,105.00,99.00,103.50,97.50,0.61,0.00,224.279,2359.394,6.43,0,,1/28/2024 5:29:12 PM,0
,Mixed / non conventional,105.00,99.00,97.50,106.50,0.62,0.00,-247.471,2359.394,-5.89,0,,1/28/2024 5:29:12 PM,0
,Mixed / non conventional,105.00,99.00,106.50,96.00,0.64,0.00,182.304,2359.394,8.32,0,,1/28/2024 5:29:12 PM,0
,Mixed / non conventional,105.00,99.00,96.00,108.00,0.80,0.00,-134.097,2359.394,-14.14,0,,1/28/2024 5:29:12 PM,0
,Mixed / non conventional,105.00,99.00,108.00,94.50,0.83,0.00,108.987,2359.394,17.99,0,,1/28/2024 5:29:12 PM,0
,Mixed / non conventional,105.00,99.00,94.50,109.50,0.86,0.00,-82.134,2359.394,-24.74,0,,1/28/2024 5:29:12 PM,0
,Mixed / non conventional,105.00,99.00,109.50,93.00,0.88,0.00,69.594,2359.394,29.87,0,,1/28/2024 5:29:12 PM,0
,Mixed / non conventional,105.00,99.00,93.00,111.00,0.89,0.00,-55.860,2359.394,-37.70,0,,1/28/2024 5:29:12 PM,0
,Mixed / non conventional,106.00,100.00,103.00,101.50,0.65,0.00,107.626,2349.773,14.14,0,,1/28/2024 5:29:14 PM,0
,Mixed / non conventional,106.00,100.00,101.50,104.50,0.60,0.00,-198.683,2349.773,-7.07,0,,1/28/2024 5:29:14 PM,0
,Mixed / non conventional,106.00,100.00,104.50,98.50,0.61,0.00,222.090,2349.773,6.43,0,,1/28/2024 5:29:14 PM,0
,Mixed / non conventional,106.00,100.00,98.50,107.50,0.62,0.00,-249.308,2349.773,-5.89,0,,1/28/2024 5:29:14 PM,0
,Mixed / non conventional,106.00,100.00,107.50,97.00,0.65,0.00,184.521,2349.773,8.32,0,,1/28/2024 5:29:14 PM,0
,Mixed / non conventional,106.00,100.00,97.00,109.00,0.80,0.00,-132.652,2349.773,-14.14,0,,1/28/2024 5:29:14 PM,0
,Mixed / non conventional,106.00,100.00,109.00,95.50,0.82,0.00,107.632,2349.773,17.99,0,,1/28/2024 5:29:14 PM,0
,Mixed / non conventional,106.00,100.00,95.50,110.50,0.86,0.00,-81.256,2349.773,-24.74,0,,1/28/2024 5:29:14 PM,0
,Mixed / non conventional,106.00,100.00,110.50,94.00,0.88,0.00,68.965,2349.773,29.87,0,,1/28/2024 5:29:14 PM,0
,Mixed / non conventional,106.00,100.00,94.00,112.00,0.89,0.00,-55.288,2349.773,-37.70,0,,1/28/2024 5:29:14 PM,0
,Mixed / non conventional,107.00,101.00,104.00,102.50,0.65,0.00,109.381,2382.093,14.14,0,,1/28/2024 5:29:16 PM,0
,Mixed / non conventional,107.00,101.00,102.50,105.50,0.60,0.00,-202.046,2382.093,-7.07,0,,1/28/2024 5:29:16 PM,0
,Mixed / non conventional,107.00,101.00,105.50,99.50,0.60,0.00,223.278,2382.093,6.43,0,,1/28/2024 5:29:16 PM,0
,Mixed / non conventional,107.00,101.00,99.50,108.50,0.65,0.00,-261.109,2382.093,-5.89,0,,1/28/2024 5:29:16 PM,0
,Mixed / non conventional,107.00,101.00,108.50,98.00,0.69,0.00,196.885,2382.093,8.32,0,,1/28/2024 5:29:16 PM,0
,Mixed / non conventional,107.00,101.00,98.00,110.00,0.79,0.00,-133.734,2382.093,-14.14,0,,1/28/2024 5:29:16 PM,0
,Mixed / non conventional,107.00,101.00,110.00,96.50,0.82,0.00,108.996,2382.093,17.99,0,,1/28/2024 5:29:16 PM,0
,Mixed / non conventional,107.00,101.00,96.50,111.50,0.86,0.00,-82.854,2382.093,-24.74,0,,1/28/2024 5:29:16 PM,0
,Mixed / non conventional,107.00,101.00,111.50,95.00,0.88,0.00,70.352,2382.093,29.87,0,,1/28/2024 5:29:16 PM,0
,Mixed / non conventional,107.00,101.00,95.00,113.00,0.90,0.00,-56.709,2382.093,-37.70,0,,1/28/2024 5:29:16 PM,0
,Mixed / non conventional,108.00,102.00,105.00,103.50,0.67,0.00,110.306,2338.532,14.14,0,,1/28/2024 5:29:19 PM,0
,Mixed / non conventional,108.00,102.00,103.50,106.50,0.62,0.00,-203.702,2338.532,-7.07,0,,1/28/2024 5:29:19 PM,0
,Mixed / non conventional,108.00,102.00,106.50,100.50,0.62,0.00,224.575,2338.532,6.43,0,,1/28/2024 5:29:19 PM,0
,Mixed / non conventional,108.00,102.00,100.50,109.50,0.65,0.00,-259.387,2338.532,-5.89,0,,1/28/2024 5:29:19 PM,0
,Mixed / non conventional,108.00,102.00,109.50,99.00,0.69,0.00,194.223,2338.532,8.32,0,,1/28/2024 5:29:19 PM,0
,Mixed / non conventional,108.00,102.00,99.00,111.00,0.81,0.00,-133.744,2338.532,-14.14,0,,1/28/2024 5:29:19 PM,0
,Mixed / non conventional,108.00,102.00,111.00,97.50,0.84,0.00,109.125,2338.532,17.99,0,,1/28/2024 5:29:19 PM,0
,Mixed / non conventional,108.00,102.00,97.50,112.50,0.88,0.00,-83.435,2338.532,-24.74,0,,1/28/2024 5:29:19 PM,0
,Mixed / non conventional,108.00,102.00,112.50,96.00,0.91,0.00,71.010,2338.532,29.87,0,,1/28/2024 5:29:19 PM,0
,Mixed / non conventional,108.00,102.00,96.00,114.00,0.93,0.00,-57.396,2338.532,-37.70,0,,1/28/2024 5:29:19 PM,0
,Mixed / non conventional,109.00,103.00,106.00,104.50,0.69,0.00,115.842,2361.485,14.14,0,,1/28/2024 5:29:21 PM,0
,Mixed / non conventional,109.00,103.00,104.50,107.50,0.63,0.00,-209.035,2361.485,-7.07,0,,1/28/2024 5:29:21 PM,0
,Mixed / non conventional,109.00,103.00,107.50,101.50,0.62,0.00,226.311,2361.485,6.43,0,,1/28/2024 5:29:21 PM,0
,Mixed / non conventional,109.00,103.00,101.50,110.50,0.61,0.00,-242.811,2361.485,-5.89,0,,1/28/2024 5:29:21 PM,0
,Mixed / non conventional,109.00,103.00,110.50,100.00,0.62,0.00,177.257,2361.485,8.32,0,,1/28/2024 5:29:21 PM,0
,Mixed / non conventional,109.00,103.00,100.00,112.00,0.81,0.00,-135.166,2361.485,-14.14,0,,1/28/2024 5:29:21 PM,0
,Mixed / non conventional,109.00,103.00,112.00,98.50,0.84,0.00,110.218,2361.485,17.99,0,,1/28/2024 5:29:21 PM,0
,Mixed / non conventional,109.00,103.00,98.50,113.50,0.88,0.00,-84.270,2361.485,-24.74,0,,1/28/2024 5:29:21 PM,0
,Mixed / non conventional,109.00,103.00,113.50,97.00,0.91,0.00,71.778,2361.485,29.87,0,,1/28/2024 5:29:21 PM,0
,Mixed / non conventional,109.00,103.00,97.00,115.00,0.93,0.00,-58.102,2361.485,-37.70,0,,1/28/2024 5:29:21 PM,0
,Mixed / non conventional,110.00,104.00,107.00,105.50,0.68,0.00,114.245,2369.492,14.14,0,,1/28/2024 5:29:23 PM,0
,Mixed / non conventional,110.00,104.00,105.50,108.50,0.62,0.00,-208.119,2369.492,-7.07,0,,1/28/2024 5:29:23 PM,0
,Mixed / non conventional,110.00,104.00,108.50,102.50,0.62,0.00,229.083,2369.492,6.43,0,,1/28/2024 5:29:23 PM,0
,Mixed / non conventional,110.00,104.00,102.50,111.50,0.66,0.00,-264.476,2369.492,-5.89,0,,1/28/2024 5:29:23 PM,0
,Mixed / non conventional,110.00,104.00,111.50,101.00,0.69,0.00,197.195,2369.492,8.32,0,,1/28/2024 5:29:23 PM,0
,Mixed / non conventional,110.00,104.00,101.00,113.00,0.82,0.00,-136.978,2369.492,-14.14,0,,1/28/2024 5:29:23 PM,0
,Mixed / non conventional,110.00,104.00,113.00,99.50,0.85,0.00,111.382,2369.492,17.99,0,,1/28/2024 5:29:23 PM,0
,Mixed / non conventional,110.00,104.00,99.50,114.50,0.89,0.00,-85.105,2369.492,-24.74,0,,1/28/2024 5:29:23 PM,0
,Mixed / non conventional,110.00,104.00,114.50,98.00,0.91,0.00,72.441,2369.492,29.87,0,,1/28/2024 5:29:23 PM,0
,Mixed / non conventional,110.00,104.00,98.00,116.00,0.94,0.00,-58.779,2369.492,-37.70,0,,1/28/2024 5:29:23 PM,0
,Mixed / non conventional,111.00,105.00,108.00,106.50,0.67,0.00,110.292,2339.620,14.14,0,,1/28/2024 5:29:25 PM,0
,Mixed / non conventional,111.00,105.00,106.50,109.50,0.61,0.00,-203.253,2339.620,-7.07,0,,1/28/2024 5:29:25 PM,0
,Mixed / non conventional,111.00,105.00,109.50,103.50,0.63,0.00,227.557,2339.620,6.43,0,,1/28/2024 5:29:25 PM,0
,Mixed / non conventional,111.00,105.00,103.50,112.50,0.60,0.00,-239.181,2339.620,-5.89,0,,1/28/2024 5:29:25 PM,0
,Mixed / non conventional,111.00,105.00,112.50,102.00,0.61,0.00,171.424,2339.620,8.32,0,,1/28/2024 5:29:25 PM,0
,Mixed / non conventional,111.00,105.00,102.00,114.00,0.82,0.00,-135.337,2339.620,-14.14,0,,1/28/2024 5:29:25 PM,0
,Mixed / non conventional,111.00,105.00,114.00,100.50,0.84,0.00,109.535,2339.620,17.99,0,,1/28/2024 5:29:25 PM,0
,Mixed / non conventional,111.00,105.00,100.50,115.50,0.88,0.00,-83.245,2339.620,-24.74,0,,1/28/2024 5:29:25 PM,0
